lane_id,origin_metro,origin_state,dest_metro,dest_state,miles,ltl_base,ltl_per_pallet,ltl_min_charge,ftl_flat_rate,transit_days_standard
L001,Chicago,IL,Atlanta,GA,717,305.69,73.00,224.14,1414.16,3
L002,Chicago,IL,Dallas,TX,925,383.18,90.51,223.62,2024.42,3
L003,Chicago,IL,Denver,CO,1003,399.62,89.55,233.52,2080.51,3
L004,Chicago,IL,Columbus,OH,355,205.77,62.75,185.78,893.88,2
L005,Chicago,IL,Kansas City,MO,510,240.96,64.34,187.42,1117.34,2
L006,Chicago,IL,Charlotte,NC,762,328.91,85.08,230.27,1596.79,3
L007,Atlanta,GA,Miami,FL,663,319.40,78.31,201.79,1497.41,2
L008,Atlanta,GA,Charlotte,NC,245,150.36,53.71,185.14,858.98,1
L009,Atlanta,GA,Nashville,TN,249,163.48,51.50,171.70,795.04,1
L010,Atlanta,GA,Dallas,TX,781,335.90,78.98,236.23,1664.35,3
L011,Atlanta,GA,Memphis,TN,384,202.18,61.49,200.72,825.21,2
L012,Atlanta,GA,Jacksonville,FL,346,186.96,60.87,192.92,848.56,2
L013,Dallas,TX,Houston,TX,239,166.09,53.56,184.12,871.72,1
L014,Dallas,TX,Phoenix,AZ,1067,423.19,98.69,255.55,2287.51,3
L015,Dallas,TX,Denver,CO,794,371.78,86.11,215.14,1630.15,3
L016,Dallas,TX,Memphis,TN,452,235.14,68.97,186.01,940.61,2
L017,Dallas,TX,Los Angeles,CA,1435,571.99,112.63,292.33,3157.44,4
L018,Dallas,TX,Oklahoma City,OK,206,153.06,50.03,178.02,875.94,1
L019,Los Angeles,CA,Phoenix,AZ,372,190.19,61.75,202.46,894.61,2
L020,Los Angeles,CA,Las Vegas,NV,270,179.52,58.43,180.75,863.81,1
L021,Los Angeles,CA,Oakland,CA,371,202.73,60.86,194.86,807.64,2
L022,Los Angeles,CA,Seattle,WA,1135,456.28,96.24,258.75,2444.93,4
L023,Los Angeles,CA,Denver,CO,1015,396.62,98.49,244.34,2294.54,3
L024,Los Angeles,CA,Salt Lake City,UT,689,323.33,82.04,206.60,1453.94,2
L025,Newark,NJ,Boston,MA,224,153.54,50.64,167.31,865.22,1
L026,Newark,NJ,Philadelphia,PA,85,102.53,42.33,166.42,840.75,1
L027,Newark,NJ,Baltimore,MD,184,131.91,47.18,174.18,885.76,1
L028,Newark,NJ,Charlotte,NC,625,278.62,71.02,198.24,1417.71,2
L029,Newark,NJ,Columbus,OH,531,276.51,64.40,209.24,1145.83,2
L030,Newark,NJ,Atlanta,GA,869,347.98,92.01,241.32,1957.49,3
L031,Memphis,TN,Nashville,TN,212,146.07,54.44,183.75,842.94,1
L032,Memphis,TN,Kansas City,MO,452,233.33,66.74,203.02,902.70,2
L033,Memphis,TN,Houston,TX,578,263.72,66.62,206.61,1276.19,2
L034,Memphis,TN,Chicago,IL,530,262.99,66.56,195.85,1070.09,2
L035,Seattle,WA,Portland,OR,174,128.93,52.92,168.52,881.20,1
L036,Seattle,WA,Oakland,CA,807,369.38,82.87,224.03,1769.06,3
L037,Seattle,WA,Salt Lake City,UT,830,378.34,80.35,216.59,1834.88,3
L038,Columbus,OH,Pittsburgh,PA,185,142.40,52.45,166.09,822.76,1
L039,Columbus,OH,Indianapolis,IN,176,141.33,50.79,169.53,815.58,1
L040,Columbus,OH,Nashville,TN,384,211.75,61.41,181.42,881.34,2
L041,Phoenix,AZ,Las Vegas,NV,297,169.24,53.52,181.00,798.64,1
L042,Phoenix,AZ,Albuquerque,NM,421,232.77,61.72,184.98,923.12,2
L043,Houston,TX,New Orleans,LA,348,209.38,58.93,193.72,815.47,2
L044,Houston,TX,San Antonio,TX,197,146.18,47.83,169.59,883.90,1
L045,Kansas City,MO,Denver,CO,600,287.28,70.23,222.50,1319.93,2
L046,Kansas City,MO,Omaha,NE,186,140.61,50.49,177.29,832.12,1
L047,Charlotte,NC,Jacksonville,FL,384,219.83,60.42,180.24,805.13,2
L048,Nashville,TN,Louisville,KY,176,135.49,52.34,177.68,825.55,1
L049,Denver,CO,Salt Lake City,UT,525,255.09,64.55,201.18,1153.77,2
L050,Oakland,CA,Portland,OR,634,308.04,71.63,209.31,1268.44,2
